N2d(1e10percmsq)	musurface	mubg	muir	mutotal(1e6cm^2/Vs)
2.000000e+00	2.655978e+00	8.453955e-01	1.227101e+01	6.094290e-01
2.500000e+00	3.729476e+00	9.899054e-01	9.962265e+00	7.253155e-01
3.000000e+00	4.915572e+00	1.132623e+00	8.447343e+00	8.300671e-01
3.500000e+00	6.203942e+00	1.274745e+00	7.380888e+00	9.249464e-01
4.000000e+00	7.586558e+00	1.416979e+00	6.592124e+00	1.010882e+00
4.500000e+00	9.056949e+00	1.559771e+00	5.987071e+00	1.088662e+00
5.000000e+00	1.060976e+01	1.703408e+00	5.509800e+00	1.159009e+00
5.500000e+00	1.224046e+01	1.848082e+00	5.124977e+00	1.222613e+00
6.000000e+00	1.394517e+01	1.993921e+00	4.809193e+00	1.280133e+00
6.500000e+00	1.572050e+01	2.141011e+00	4.546332e+00	1.332200e+00
7.000000e+00	1.756347e+01	2.289410e+00	4.324941e+00	1.379411e+00
7.500000e+00	1.947142e+01	2.439155e+00	4.136660e+00	1.422321e+00
8.000000e+00	2.144199e+01	2.590267e+00	3.975241e+00	1.461443e+00
8.500000e+00	2.347302e+01	2.742760e+00	3.835925e+00	1.497249e+00
9.000000e+00	2.556257e+01	2.896635e+00	3.715022e+00	1.530163e+00
9.500000e+00	2.770885e+01	3.051893e+00	3.609626e+00	1.560569e+00
1.000000e+01	2.991023e+01	3.208527e+00	3.517420e+00	1.588809e+00
1.100000e+01	3.447237e+01	3.525886e+00	3.365429e+00	1.639978e+00
1.200000e+01	3.923818e+01	3.848616e+00	3.247752e+00	1.685703e+00
1.300000e+01	4.419830e+01	4.176603e+00	3.156587e+00	1.727557e+00
1.400000e+01	4.934447e+01	4.509724e+00	3.086365e+00	1.766739e+00
1.500000e+01	5.466941e+01	4.847850e+00	3.033001e+00	1.804158e+00
1.600000e+01	6.016656e+01	5.190856e+00	2.993421e+00	1.840492e+00
1.700000e+01	6.583005e+01	5.538617e+00	2.965263e+00	1.876245e+00
1.800000e+01	7.165452e+01	5.891014e+00	2.946677e+00	1.911786e+00
1.900000e+01	7.763511e+01	6.247932e+00	2.936186e+00	1.947376e+00
2.000000e+01	8.376734e+01	6.609260e+00	2.932594e+00	1.983199e+00
