N2d(1e10percmsq)	musurface	mubg	muir	mutotal(1e6cm^2/Vs)
2.000000e+00	2.928357e+00	7.564430e-01	1.470508e+02	5.987072e-01
2.500000e+00	4.083444e+00	8.965382e-01	1.017979e+02	7.298651e-01
3.000000e+00	5.350401e+00	1.037326e+00	7.532682e+01	8.589632e-01
3.500000e+00	6.718169e+00	1.179318e+00	5.846533e+01	9.862887e-01
4.000000e+00	8.178315e+00	1.322762e+00	4.704190e+01	1.111697e+00
4.500000e+00	9.724160e+00	1.467781e+00	3.893169e+01	1.234837e+00
5.000000e+00	1.135025e+01	1.614427e+00	3.295778e+01	1.355270e+00
5.500000e+00	1.305205e+01	1.762719e+00	2.842470e+01	1.472532e+00
6.000000e+00	1.482568e+01	1.912653e+00	2.489968e+01	1.586180e+00
6.500000e+00	1.666780e+01	2.064214e+00	2.210173e+01	1.695815e+00
7.000000e+00	1.857549e+01	2.217380e+00	1.984189e+01	1.801103e+00
7.500000e+00	2.054618e+01	2.372125e+00	1.798918e+01	1.901781e+00
8.000000e+00	2.257756e+01	2.528420e+00	1.645045e+01	1.997665e+00
8.500000e+00	2.466756e+01	2.686236e+00	1.515797e+01	2.088646e+00
9.000000e+00	2.681431e+01	2.845544e+00	1.406147e+01	2.174686e+00
9.500000e+00	2.901610e+01	3.006316e+00	1.312301e+01	2.255815e+00
1.000000e+01	3.127138e+01	3.168523e+00	1.231352e+01	2.332121e+00
1.100000e+01	3.593672e+01	3.497134e+00	1.099580e+01	2.470851e+00
1.200000e+01	4.080008e+01	3.831171e+00	9.978344e+00	2.592396e+00
1.300000e+01	4.585255e+01	4.170440e+00	9.177350e+00	2.698649e+00
1.400000e+01	5.108634e+01	4.514762e+00	8.536705e+00	2.791647e+00
1.500000e+01	5.649451e+01	4.863973e+00	8.017623e+00	2.873404e+00
1.600000e+01	6.207088e+01	5.217920e+00	7.592545e+00	2.945803e+00
1.700000e+01	6.780989e+01	5.576461e+00	7.241416e+00	3.010535e+00
1.800000e+01	7.370646e+01	5.939465e+00	6.949336e+00	3.069073e+00
1.900000e+01	7.975597e+01	6.306810e+00	6.705019e+00	3.122668e+00
2.000000e+01	8.595419e+01	6.678382e+00	6.499776e+00	3.172363e+00
